cum_emissions_hat1,ann,year
131670.42,0,1880
131670.42,1.14E-05,1881
131670.4201,5.75E-05,1882
131670.4203,0.000199347,1883
131670.4208,0.000568789,1884
131670.4223,0.001442738,1885
131670.4255,0.003250224,1886
131670.4322,0.006644901,1887
131670.4442,0.012025827,1888
131670.4631,0.018959637,1889
131670.4861,0.022932133,1890
131670.4975,0.011375782,1891
131670.4503,-0.047128241,1892
131670.2322,-0.218126112,1893
131669.602,-0.630182228,1894
131668.0907,-1.511353939,1895
131664.8946,-3.196053133,1896
131658.6289,-6.265708683,1897
131647.1267,-11.50217992,1898
131627.2642,-19.86247709,1899
131594.5814,-32.68280322,1900
131544.0224,-50.5590326,1901
131469.0289,-74.99349079,1902
131363.7777,-105.2512661,1903
131224.1354,-139.6422424,1904
131050.6529,-173.4824863,1905
130852.5428,-198.1101522,1906
130653.0242,-199.5185824,1907
130496.0167,-157.0074644,1908
130453.9047,-42.1120628,1909
130635.8576,181.9529299,1910
131195.8585,560.0008735,1911
132339.1697,1143.311267,1912
134325.6486,1986.478836,1913
137467.999,3142.350411,1914
142123.0504,4655.051387,1915
148674.535,6551.484587,1916
157506.8874,8832.352419,1917
168971.2564,11464.36898,1918
183347.1178,14375.86144,1919
200804.9188,17457.80103,1920
221376.4701,20571.55128,1921
244939.2725,23562.80241,1922
271218.7219,26279.44938,1923
299808.3435,28589.62158,1924
330204.3237,30395.98026,1925
361847.7975,31643.47383,1926
394167.6068,32319.80923,1927
426617.3491,32449.74233,1928
458703.005,32085.6559,1929
489999.9779,31296.97291,1930
520160.4957,30160.51781,1931
548913.4717,28752.97601,1932
576059.2646,27145.79284,1933
601461.5653,25402.30072,1934
625038.127,23576.56169,1935
646751.4728,21713.34577,1936
666600.317,19848.84421,1937
684611.9886,18011.67162,1938
700836.0066,16224.01798,1939
715338.7549,14502.74836,1940
728199.1545,12860.39958,1941
739505.2322,11306.07768,1942
749351.4178,9846.185615,1943
757836.4622,8485.044367,1944
765061.8589,7225.396767,1945
771130.6456,6068.786669,1946
776146.5404,5015.894815,1947
780213.2869,4066.746484,1948
783434.179,3220.892063,1949
785911.7088,2477.529829,1950
787747.2707,1835.56193,1951
789040.903,1293.632299,1952
789891.017,850.1140197,1953
790394.0722,503.0551517,1954
790644.0956,250.0234446,1955
790731.9275,87.83187371,1956
790743.5236,11.59607526,1957
790755.7155,12.19194958,1958
790848.067,92.35149009,1959
791110.9596,262.8925241,1960
791639.9009,528.9413764,1961
792533.763,893.8620283,1962
793893.9616,1360.198683,1963
795823.9552,1929.993563,1964
798428.8902,2604.93498,1965
801815.2728,3386.382611,1966
806090.6403,4275.367498,1967
811363.1547,5272.514407,1968
817741.0575,6377.902788,1969
825331.9274,7590.869956,1970
834241.6406,8909.713156,1971
844572.9474,10331.30676,1972
856423.5567,11850.6093,1973
869883.6062,13460.04956,1974
885032.4232,15148.81695,1975
901934.4631,16902.03989,1976
920634.3695,18699.90645,1977
941151.1852,20516.81571,1978
963471.81,22320.62476,1979
987543.9856,24072.17563,1980
1013269.239,25725.25376,1981
1040496.506,27227.26692,1982
1069017.268,28520.76199,1983
1098563.324,29546.05583,1984
1128808.292,30244.96765,1985
1159373.856,30565.56428,1986
1189841.368,30467.51226,1987
1219768.811,29927.44248,1988
1248712.244,28943.43369,1989
1280312.021,31599.77638,1990
1314638.242,34326.22096,1991
1351720.082,37081.83992,1992
1391674.171,39954.08953,1993
1434610.283,42936.11183,1994
1480629.853,46019.57,1995
1529824.527,49194.67364,1996
1582274.702,52450.17516,1997
1638048.113,55773.41135,1998
1697198.505,59150.39178,1999
1759764.38,62565.87473,2000
1825767.884,66003.50434,2001
1895213.837,69445.9533,2002
1968088.946,72875.10885,2003
2044361.205,76272.25873,2004
2123979.516,79618.31149,2005
2206873.535,82894.01857,2006
2292953.76,86080.22533,2007
2382111.857,89158.09673,2008
2474221.231,92109.37372,2009
2569137.826,94916.59539,2010
2666701.151,97563.32463,2011
2766735.51,100034.3594,2012
2869051.413,102315.9026,2013
2973447.144,104395.7315,2014
3079710.463,106263.3189,2015
3187620.394,107909.9309,2016
3296949.089,109328.695,2017
3407463.722,110514.633,2018
3518928.383,111464.6607,2019
3631105.935,112177.552,2020
3743759.823,112653.8886,2021
3856655.799,112895.976,2022
3969563.534,112907.7346,2023
4082258.105,112694.5705,2024
4194521.354,112263.2496,2025
4306143.085,111621.7313,2026
4416922.115,110779.0296,2027
4526667.155,109745.0396,2028
4635197.532,108530.3769,2029
4742343.77,107146.2385,2030
4847948.001,105604.2314,2031
4951864.244,103916.2422,2032
5053958.546,102094.3023,2033
5154109.009,100150.4628,2034
5252205.699,98096.68992,2035
5348150.457,95944.75846,2036
5441856.642,93706.18506,2037
5533248.775,91392.13245,2038
5622262.148,89013.3733,2039
5708842.372,86580.22347,2040
5792944.886,84102.51488,2041
5874534.457,81589.57025,2042
5953584.627,79050.17061,2043
6030077.199,76492.57152,2044
6104001.666,73924.46699,2045
6175354.693,71353.02737,2046
6244139.578,68784.88492,2047
6310365.73,66226.15187,2048
6374048.179,63682.4493,2049
6435207.094,61158.91436,2050
6493867.323,58660.22919,2051
6550057.962,56190.63893,2052
6603811.95,53753.98788,2053
6655165.687,51353.73754,2054
6704158.674,48992.98643,2055
6750833.189,46674.51532,2056
6795233.978,44400.78895,2057
6837407.977,42173.99942,2058
6877404.06,39996.08242,2059
6915272.797,37868.73709,2060
6951066.252,35793.45492,2061
6984837.786,33771.5342,2062
7016641.889,31804.10348,2063
7046534.024,29892.13422,2064
7074570.491,28036.46785,2065
7100808.311,26237.81943,2066
7125305.105,24496.79386,2067
7148119.018,22813.91299,2068
7169308.621,21189.60295,2069
7188932.849,19624.22849,2070
7207050.939,18118.08935,2071
7223722.37,16671.43111,2072
7239006.822,15284.45239,2073
7252964.143,13957.32112,2074
7265654.307,12690.1637,2075
7277137.392,11483.08485,2076
7287473.558,10336.16584,2077
7296723.029,9249.471661,2078
7304946.073,8223.043849,2079
7312202.999,7256.92574,2080
7318554.141,6351.142615,2081
7324059.85,5505.708917,2082
7328780.493,4720.642704,2083
7332776.448,3995.95481,2084
7336108.095,3331.647041,2085
7338835.821,2727.726619,2086
7341020.019,2184.197156,2087
7342721.077,1701.058652,2088
7343999.387,1278.309301,2089
7344915.341,915.9545199,2090
7345529.334,613.9925033,2091
7345901.753,372.4196398,2092
7346092.996,191.2431522,2093
7346163.456,70.45942897,2094
7346173.521,10.06485885,2095
7346183.586,10.06485885,2096
7346254.045,70.45942897,2097
7346445.288,191.2431522,2098
7346817.708,372.4196398,2099
7347431.7,613.9925033,2100